# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A2ML1	unnamed (+5514)
COX7C	unnamed (+402060), unnamed (+634170)
COX8C	unnamed (+400706)
CPA1	unnamed (+38055)
CPAMD8	unnamed (+129623)
CPD	unnamed (+71953)
CPE	unnamed (+82703)
CPEB4	unnamed (-242621), unnamed (-268)
CPLX1	unnamed (-88357), unnamed (-43694)
CPNE4	unnamed (+79465)
CPNE8	unnamed (-156993)
CPNE9	unnamed (-139)
CPZ	unnamed (-3156)
CRB2	unnamed (-123726), unnamed (+111489)
CRBN	unnamed (-529614)
CREB3	unnamed (-4308), unnamed (-3918)
CREB3L4	unnamed (-3890)
CREBBP	unnamed (-58904)
CRELD2	unnamed (+34026)
CREM	unnamed (+117091)
CRIM1	unnamed (+16062), unnamed (+128688)
CRIP1	unnamed (-8632)
CRIP2	unnamed (+4723)
CRISP2	unnamed (+36708)
CROCC	unnamed (-278695)
CRTAM	unnamed (-106013)
CRTC3	unnamed (-117002)
CRY1	unnamed (-106)
CRYAA	unnamed (+93628), unnamed (+129826), unnamed (+164411)
CRYBA4	unnamed (+59574)
CRYBG2	unnamed (+2420)
CRYGD	unnamed (+6860)
CRYZL1	unnamed (-392), unnamed (+24012)
CSF1R	unnamed (+5258)
CSF2RB	unnamed (-39745)
CSN3	unnamed (+38978)
CSNK1D	unnamed (-19174)
CSNK1G3	unnamed (+618552)
CSNK2A2	unnamed (-1860)
CSNK2A3	unnamed (-101673), unnamed (+129052), unnamed (+350812), unnamed (+351613), unnamed (+427754), unnamed (+453667)
CSPG4	unnamed (-111205)
CSRNP1	unnamed (+2007)
CSRNP3	unnamed (-163900)
CST7	unnamed (-113045)
CTBP2	unnamed (-17962)
CTCF	unnamed (-294)
CTCFL	unnamed (+23711)
CTDP1	unnamed (-316), unnamed (+5191)
CTDSPL	unnamed (+74193)
CTGF	unnamed (-86)
CTH	unnamed (+16954), unnamed (+244162)
CTIF	unnamed (+84118), unnamed (+398513)
CTLA4	unnamed (-108637)
CTNNA1	unnamed (-28467)
CTNNB1	unnamed (-67993), unnamed (-16654)
CTPS1	unnamed (-2183), unnamed (-1673), unnamed (+336)
CTSH	unnamed (-87856), unnamed (-48105)
CTSL	unnamed (+41366)
CTSO	unnamed (-584691)
CTTN	unnamed (-27120)
CTU2	unnamed (+57217)
CTXN3	unnamed (+269890)
CUL1	unnamed (-367256)
CWC15	unnamed (+59526)
CWH43	unnamed (+723879), unnamed (+725363)
CXADR	unnamed (-948372), unnamed (-127700), unnamed (+216)
CXCL17	unnamed (-72336)
CXXC1	unnamed (-357)
CXXC4	unnamed (-627647)
CYB5D2	unnamed (+87058), unnamed (+104789)
CYBRD1	unnamed (-39282)
CYP11B2	unnamed (-76176), unnamed (-75718), unnamed (-73827)
CYP26A1	unnamed (+107522), unnamed (+371753)
CYP26B1	unnamed (+448509), unnamed (+529712)
CYP4F11	unnamed (+861)
CYP4V2	unnamed (-112037)
CYP51A1	unnamed (+57821), unnamed (+170240)
CYP7B1	unnamed (-223661)
CYR61	unnamed (-53430), unnamed (-5), unnamed (+26636), unnamed (+35528)
CYTH2	unnamed (+33033)
CYTH3	unnamed (+100207)
CYYR1	unnamed (-204104), unnamed (-203588)
DAB2	unnamed (-108366)
DACT2	unnamed (-58870)
DAG1	unnamed (-8358), unnamed (+42867)
DAGLA	unnamed (+16837)
DAP	unnamed (+209723), unnamed (+309099)
DAPK1	unnamed (-121939)
DAPK2	unnamed (+183009)
DAZL	unnamed (-195795)
DBX1	unnamed (+109893), unnamed (+128697)
DCAF5	unnamed (+73746)
DCBLD1	unnamed (+53808)
DCBLD2	unnamed (-23465)
DCC	unnamed (+956393)
DCDC2C	unnamed (+282253), unnamed (+612216)
DCLK1	unnamed (+369268)
DCLK3	unnamed (-72612)
DCN	unnamed (-208257)
DCTD	unnamed (-42937)
DCTN6	unnamed (+128317)
DCUN1D2	unnamed (+22257)
DCUN1D3	unnamed (-1406)
DCUN1D4	unnamed (-736205)
DDAH1	unnamed (-62191)
DDC	unnamed (+33790), unnamed (+62788)
DDHD1	unnamed (+67991)
DDIT3	unnamed (-220)
DDR1	unnamed (-82098), unnamed (-44433), unnamed (-41043)
DDX1	unnamed (+156659), unnamed (+209924)
DDX20	unnamed (+23332)
DDX5	unnamed (-73)
DDX59	unnamed (+10557)
DDX6	unnamed (-1077), unnamed (+61126)
DEC1	unnamed (+198665)
DEFB115	unnamed (-415294), unnamed (-330022), unnamed (-205152), unnamed (-203551), unnamed (-202753), unnamed (-201660), unnamed (-199537), unnamed (-196551), unnamed (-194537), unnamed (-193587), unnamed (-192552), unnamed (-189028), unnamed (-185877), unnamed (-184155), unnamed (-183419), unnamed (-182217), unnamed (-174220), unnamed (-158481), unnamed (-151617), unnamed (-150844), unnamed (-99747), unnamed (-90969), unnamed (-82703), unnamed (-81036), unnamed (-79043), unnamed (-71779), unnamed (-68395), unnamed (-56075), unnamed (-43946)
DEFB125	unnamed (-26158), unnamed (-25256), unnamed (-22449), unnamed (-21195)
DEFB130A	unnamed (+111364)
DENND1A	unnamed (+462358)
DENND1B	unnamed (-12497)
DENND5A	unnamed (+120443)
DFFB	unnamed (+12728)
DFNA5	unnamed (-206214), unnamed (+24107)
DGCR6	unnamed (-175655), unnamed (-172460)
DGKB	unnamed (+263595), unnamed (+432041)
DGKD	unnamed (+2195)
DGKK	unnamed (-157194)
DHCR7	unnamed (+148960), unnamed (+192954), unnamed (+339976)
DHFR	unnamed (-286837), unnamed (-55)
DHRS12	unnamed (+392)
DHRS9	unnamed (+291088)
DHX15	unnamed (-82479), unnamed (-58911)
DHX40	unnamed (-73431)
DHX8	unnamed (-47833)
DIABLO	unnamed (-30303)
DIAPH3	unnamed (-3295), unnamed (+205)
DICER1	unnamed (+327728)
DIP2C	unnamed (-28646), unnamed (-10922), unnamed (-10611), unnamed (+424806)
DIRAS2	unnamed (+761309)
DISC1	unnamed (+833199)
DISP1	unnamed (+47267)
DISP3	unnamed (-105011), unnamed (+43465)
DKK2	unnamed (-168246), unnamed (+614171)
DKK3	unnamed (-34562), unnamed (-10452)
DLC1	unnamed (+381311)
DLD	unnamed (+447), unnamed (+61869), unnamed (+88059)
DLG1	unnamed (-73926)
DLG5	unnamed (+59213)
DLGAP1	unnamed (-55590), unnamed (+743058), unnamed (+802469)
DLGAP2	unnamed (-885798), unnamed (-660999), unnamed (-294891)
DLGAP4	unnamed (+22999)
DLK1	unnamed (+146563)
DLL1	unnamed (+144241), unnamed (+244452)
DLX2	unnamed (-181498), unnamed (-96146)
DLX4	unnamed (-72126)
DMAC1	unnamed (+655443)
DMRT1	unnamed (-283696), unnamed (-32779)
DMRT2	unnamed (+964764)
DNAH14	unnamed (+405770)
DNAH6	unnamed (+245327)
DNAJB1	unnamed (+12390), unnamed (+12861)
DNAJB6	unnamed (-37689), unnamed (-27738), unnamed (+53027), unnamed (+208222), unnamed (+810773)
DNAJC1	unnamed (-242010)
DNAJC11	unnamed (-22955)
DNAJC13	unnamed (-34)
DNAJC16	unnamed (-4)
DNAJC17	unnamed (-18686)
DNAJC5	unnamed (+53449)
DNASE1L3	unnamed (-3361), unnamed (+161792)
DNM1	unnamed (+47191)
DNM1L	unnamed (-131)
DNM3	unnamed (+51467)
DNPEP	unnamed (+31102)
DOCK1	unnamed (+42048), unnamed (+42711), unnamed (+457480)
DOCK9	unnamed (-95005), unnamed (+16306)
DOK6	unnamed (-544691), unnamed (-544461)
DONSON	unnamed (-29040)
DOT1L	unnamed (+36322), unnamed (+36728)
DPEP1	unnamed (+18478)
DPF1	unnamed (+272395)
DPP4	unnamed (-38968)
DPP6	unnamed (+40792), unnamed (+521870)
DPPA3	unnamed (-5914), unnamed (-5394)
DPRX	unnamed (-72087), unnamed (-34774)
DPT	unnamed (-95269)
DR1	unnamed (+54161)
DRC1	unnamed (+78280)
DRC3	unnamed (-190)
DRD4	unnamed (+5489)
DSCR3	unnamed (-98883)
DSP	unnamed (-126506), unnamed (+19955)
DTL	unnamed (+184467)
DTWD2	unnamed (+449672)
DUSP10	unnamed (-396582), unnamed (+129852), unnamed (+148276)
DUSP14	unnamed (-32869)
DUSP3	unnamed (+513)
DUSP4	unnamed (-469830), unnamed (+1812), unnamed (+63542)
DUSP5	unnamed (-89282)
DUSP6	unnamed (+221735)
DUX4	unnamed (-91744), unnamed (+4278), unnamed (+5835), unnamed (+30019)
DVL3	unnamed (+6305), unnamed (+7529)
DYNC2LI1	unnamed (+30230)
DYNLL1	unnamed (+26179)
DYNLL2	unnamed (-60255)
DYRK1A	unnamed (-53885)
DYRK2	unnamed (+21288)
DYSF	unnamed (+151624), unnamed (+232827)
E2F6	unnamed (+108509)
E2F8	unnamed (-284297), unnamed (-178099), unnamed (-128881), unnamed (-35461)
EBAG9	unnamed (+98025)
EBNA1BP2	unnamed (-34546), unnamed (+154437)
ECHDC3	unnamed (-54805)
ECI2	unnamed (-485452), unnamed (-446606), unnamed (-155977)
ECT2	unnamed (+196044)
EDIL3	unnamed (-637060), unnamed (-51171)
EDN2	unnamed (-404203), unnamed (-180786)
EDNRB	unnamed (-55957)
EDRF1	unnamed (-673724)
EEF1A1	unnamed (-45234)
EEF1E1	unnamed (-55413)
EEF1G	unnamed (+13091), unnamed (+20362)
EEF2K	unnamed (-15495)
EEF2KMT	unnamed (-119)
EEPD1	unnamed (-155)
EFCAB10	unnamed (-194675), unnamed (-106453)
EFEMP1	unnamed (+144213)
EFHD2	unnamed (-95244)
EFNA1	unnamed (-2595)
EFNA5	unnamed (+113415), unnamed (+115275), unnamed (+404883)
EFNB1	unnamed (+276134)
EGFL7	unnamed (-51960)
EGFL8	unnamed (+8684)
EGFLAM	unnamed (+207580)
EGFR	unnamed (-72617), unnamed (-51408), unnamed (-33330), unnamed (-24477), unnamed (-5049)
EGLN3	unnamed (-272667), unnamed (-101204)
EHBP1	unnamed (-44728), unnamed (-40857), unnamed (-33157), unnamed (+22276)
EHD4	unnamed (+24653)
EHMT1	unnamed (-6567), unnamed (+50500)
EID2	unnamed (+799)
EID3	unnamed (-84133)
EIF2AK2	unnamed (+58464)
EIF2AK4	unnamed (+8278)
EIF2B1	unnamed (-18)
EIF2B2	unnamed (-233)
EIF2S2	unnamed (-46595)
EIF3F	unnamed (+7453)
EIF3L	unnamed (+38449)
EIF4E	unnamed (+112064)
EIF4H	unnamed (-20178)
ELAC2	unnamed (-248544)
ELAVL3	unnamed (+16078)
ELF3	unnamed (+425), unnamed (+97916)
ELK4	unnamed (-40351)
ELMO3	unnamed (+7862)
ELMSAN1	unnamed (-78080), unnamed (-35920)
ELOVL5	unnamed (+194946)
ELP2	unnamed (+12052)
EMB	unnamed (+774614), unnamed (+780046), unnamed (+781493), unnamed (+782683), unnamed (+783590), unnamed (+784324), unnamed (+793164), unnamed (+795271), unnamed (+810363), unnamed (+839329)
EMC2	unnamed (-295)
EMC4	unnamed (+85585)
EMC7	unnamed (-81287)
EMILIN2	unnamed (+66206)
EML1	unnamed (+134648)
EML4	unnamed (+173425)
EML6	unnamed (-150253)
EMP1	unnamed (+329738)
EMP2	unnamed (-79545)
EMSY	unnamed (-968)
EN2	unnamed (-122529), unnamed (-51061)
ENC1	unnamed (+3207), unnamed (+9029), unnamed (+246047)
ENHO	unnamed (-36177)
ENPEP	unnamed (-2897)
ENPP7	unnamed (-176549)
ENSA	unnamed (-45284), unnamed (-97)
ENSG00000177359	unnamed (-40473)
ENSG00000182974	unnamed (-907524), unnamed (-821560), unnamed (-527290), unnamed (-375838)
ENSG00000183889	unnamed (-92634)
ENSG00000214732	unnamed (-17942)
ENSG00000240045	unnamed (+22613)
ENSG00000241149	unnamed (-795461)
ENSG00000241962	unnamed (-404767)
ENSG00000249209	unnamed (-53765), unnamed (-16224)
ENSG00000251537	unnamed (-8237)
ENSG00000256206	unnamed (-69349)
ENSG00000256861	unnamed (+8586)
ENSG00000258989	unnamed (-22755), unnamed (+144326)
ENSG00000259680	unnamed (-750167), unnamed (-747886), unnamed (-742928), unnamed (-741640), unnamed (-738055), unnamed (-737068), unnamed (-736300), unnamed (-731277), unnamed (-728848), unnamed (-726807), unnamed (+353715)
ENSG00000259753	unnamed (+238728), unnamed (+258526)
ENSG00000260734	unnamed (+48875)
ENSG00000263264	unnamed (+27286)
ENSG00000263809	unnamed (-2007)
ENSG00000266953	unnamed (-4282)
ENSG00000267140	unnamed (+50376)
ENSG00000267552	unnamed (-723)
ENSG00000268041	unnamed (+9697)
ENSG00000268861	unnamed (-6605)
ENSG00000275993	unnamed (-890391), unnamed (-783170), unnamed (-781571), unnamed (-40875), unnamed (+258444), unnamed (+259633)
ENSG00000279956	unnamed (-262849), unnamed (-250045)
ENSG00000280433	unnamed (-906564), unnamed (-165868), unnamed (-164269), unnamed (-57048)
ENSG00000281883	unnamed (+266240)
ENSG00000282218	unnamed (+37106)
ENSG00000282246	unnamed (+119183)
ENSG00000282804	unnamed (-68122)
ENSG00000283088	unnamed (+18734)
ENSG00000283201	unnamed (-87227)
ENSG00000283324	unnamed (+15600)
ENSG00000283496	unnamed (-168)
ENSG00000283526	unnamed (+121953), unnamed (+148669)
ENSG00000283765	unnamed (+39096)
ENSG00000283930	unnamed (+479347), unnamed (+480617), unnamed (+767727), unnamed (+778623), unnamed (+784577), unnamed (+787774), unnamed (+792085), unnamed (+792610), unnamed (+793728), unnamed (+795092), unnamed (+805635), unnamed (+808059), unnamed (+808644), unnamed (+810401), unnamed (+817926), unnamed (+825168)
ENSG00000283988	unnamed (-4778), unnamed (-1888)
ENSG00000284299	unnamed (+480062)
ENSG00000284356	unnamed (-1344)
ENTPD4	unnamed (+5053), unnamed (+6109)
EPAS1	unnamed (-132396)
EPB41L4A	unnamed (-165733), unnamed (-160706)
EPB41L4B	unnamed (-170)
EPHA2	unnamed (+10808)
EPHA4	unnamed (-261841), unnamed (-222286), unnamed (-29388), unnamed (+877759)
EPHB3	unnamed (-123583)
EPHX3	unnamed (-37875)
EPM2AIP1	unnamed (+180695)
EPN1	unnamed (-6163)
EPN2	unnamed (+95353)
EPPK1	unnamed (+28036)
EQTN	unnamed (-124297)
ERBB3	unnamed (-667)
ERBB4	unnamed (-547832)
ERBIN	unnamed (-64721)
ERC1	unnamed (+448396), unnamed (+546682)
ERC2	unnamed (+604400), unnamed (+899443)
ERCC2	unnamed (-5909)
ERCC6	unnamed (-60619), unnamed (-11704)
ERCC6L2	unnamed (+225914)
ERF	unnamed (-13727)
ERG	unnamed (+38706)
ERGIC1	unnamed (+68136), unnamed (+68712)
ERI1	unnamed (-59425)
ERMARD	unnamed (+294396), unnamed (+394607)
ERN1	unnamed (+73710)
ERP27	unnamed (+6898), unnamed (+9927)
ERRFI1	unnamed (-101152), unnamed (-721), unnamed (+21029), unnamed (+34408)
ERVFRD-1	unnamed (-385)
ERVMER34-1	unnamed (-37397), unnamed (+16323)
ERVW-1	unnamed (-6999)
ESD	unnamed (+112457)
ESRP2	unnamed (-1192)
ESRRG	unnamed (-203377)
ETAA1	unnamed (+275061), unnamed (+615387)
ETNK2	unnamed (+2231)
ETS2	unnamed (+108478), unnamed (+225169)
ETV1	unnamed (-649820), unnamed (-481374), unnamed (+69486)
ETV3L	unnamed (+18911)
ETV6	unnamed (-19368), unnamed (+392393)
EVA1B	unnamed (+2377)
EVI5	unnamed (-30717), unnamed (-12573)
EVI5L	unnamed (+24212)
EVL	unnamed (-137287)
EXD3	unnamed (+93590), unnamed (+94186), unnamed (+94828)
EXO1	unnamed (-74764)
EXT1	unnamed (+263994)
EXTL3	unnamed (-78707)
EYA2	unnamed (-105301)
EZR	unnamed (-34004), unnamed (+88686)
F13B	unnamed (+75068)
F2R	unnamed (+10195)
F2RL1	unnamed (-92739), unnamed (-98)
F2RL3	unnamed (+8332)
F3	unnamed (-104756)
F5	unnamed (-34843), unnamed (-29324)
FAAP20	unnamed (+59215), unnamed (+61285), unnamed (+70521), unnamed (+72853)
FAAP24	unnamed (+75399)
FABP12	unnamed (-26940)
FABP5	unnamed (-5759), unnamed (+20622), unnamed (+20983)
FADD	unnamed (-11971)
FAF1	unnamed (-175)
FAIM2	unnamed (+34681)
FAM104A	unnamed (+7449)
FAM107A	unnamed (+66626)
FAM110B	unnamed (-788536), unnamed (+305762)
FAM120B	unnamed (+11103), unnamed (+103836), unnamed (+104815), unnamed (+154735)
FAM122A	unnamed (-32846), unnamed (+15197)
FAM124B	unnamed (+299679)
FAM131C	unnamed (-71653)
FAM135B	unnamed (+290375)
FAM155A	unnamed (+186047)
FAM156A	unnamed (-21773)
FAM163A	unnamed (+132470)
FAM163B	unnamed (+35927)
FAM174A	unnamed (+306614)
FAM187B	unnamed (+65594)
FAM189A2	unnamed (+56562)
FAM19A1	unnamed (-73590)
FAM19A5	unnamed (-724313), unnamed (-679357)
FAM207A	unnamed (+44054)
FAM208A	unnamed (-16290)
FAM20C	unnamed (-182871)
FAM210A	unnamed (+51595)
FAM46A	unnamed (-270081)
FAM46B	unnamed (-159), unnamed (+4524), unnamed (+13265)
FAM49A	unnamed (-354358), unnamed (-249605), unnamed (+45068), unnamed (+256944), unnamed (+413394)
FAM50B	unnamed (-60299)
FAM53B	unnamed (+133611)
FAM60A	unnamed (+79745)
FAM71D	unnamed (-21407)
FAM72C	unnamed (-132457)
FAM84B	unnamed (-21781)
FAM86B1	unnamed (-12832), unnamed (-404)
FAM86B2	unnamed (-344)
FAM86C1	unnamed (-338), unnamed (+6979)
FAM8A1	unnamed (-181934)
FAM92B	unnamed (-434632), unnamed (-402664), unnamed (-380091), unnamed (-242326)
FAM9A	unnamed (+40793)
FAN1	unnamed (-137243)
FANCB	unnamed (+142038)
FANCC	unnamed (+446686), unnamed (+498107)
FANCE	unnamed (-26926)
FANCM	unnamed (+11768)
FAP	unnamed (-2418)
FASLG	unnamed (+12763), unnamed (+312493), unnamed (+334685)
FASTK	unnamed (+12377)
FASTKD3	unnamed (+301307)
FAT1	unnamed (+101409)
FAT2	unnamed (-76603), unnamed (-28403)
FAT3	unnamed (-552157)
FBL	unnamed (-1337)
FBLIM1	unnamed (+35939)
FBLN1	unnamed (+14159), unnamed (+18465)
FBLN2	unnamed (-8262), unnamed (+275546), unnamed (+276215), unnamed (+301303)
FBN3	unnamed (+36678)
FBRSL1	unnamed (+51478), unnamed (+106671)
FBXL14	unnamed (+19736), unnamed (+118022)
FBXL18	unnamed (-933), unnamed (-513)
FBXL7	unnamed (-478721)
FBXO11	unnamed (-137747)
FBXO2	unnamed (+131979)
FBXO22	unnamed (-32486)
FBXO31	unnamed (+143528), unnamed (+165127), unnamed (+196218), unnamed (+221174)
FBXO32	unnamed (+122157)
FBXO33	unnamed (-330568)
FBXO8	unnamed (-99098)
FBXW12	unnamed (-26061)
FBXW7	unnamed (+489893)
FCGR2A	unnamed (-115182)
FCHO2	unnamed (+139851)
FCHSD2	unnamed (-53148), unnamed (+27579)
FCMR	unnamed (-2260)
FCN2	unnamed (-52188)
FCRL3	unnamed (+82233)
FCRL4	unnamed (-20425)
FER	unnamed (+1197), unnamed (+387881)
FERMT2	unnamed (-134115)
FEZ2	unnamed (-60328), unnamed (+113577), unnamed (+226203)
FGD2	unnamed (+122682)
FGD3	unnamed (+27136)
FGD6	unnamed (+133353)
FGF12	unnamed (-470629), unnamed (-441558)
FGF14	unnamed (+131850), unnamed (+945672)
FGF7	unnamed (+561486)
FGF9	unnamed (+300362)
FGFR2	unnamed (+18544), unnamed (+44483), unnamed (+316736), unnamed (+519539)
FGFR3	unnamed (-15202)
FGFR4	unnamed (+11489)
FGL1	unnamed (+40597)
FGL2	unnamed (-109209)
FHIT	unnamed (+857304)
FHL2	unnamed (+5697)
FIGN	unnamed (+171838), unnamed (+387715)
FIGNL1	unnamed (-81943), unnamed (-52945)
FILIP1	unnamed (+97309)
FILIP1L	unnamed (+173825)
FJX1	unnamed (-76279)
FKBP1C	unnamed (-543743)
FKBP4	unnamed (-539012), unnamed (-508253)
FLNB	unnamed (-8805), unnamed (+41031)
FLT3	unnamed (-28525)
FLT4	unnamed (-20748)
FLVCR2	unnamed (-129)
FLYWCH1	unnamed (-6178)
FLYWCH2	unnamed (+22573)
FMN2	unnamed (+93151)
FMR1	unnamed (-627641), unnamed (+44805)
FMR1NB	unnamed (-24472)
FN1	unnamed (-40524)
FNBP1L	unnamed (-48082), unnamed (+136257), unnamed (+137098), unnamed (+190491), unnamed (+306340), unnamed (+380366)
FNDC3B	unnamed (-104701)
FNIP2	unnamed (+460162)
FNTA	unnamed (-141030)
FOLR1	unnamed (-44854), unnamed (+11378)
FOLR2	unnamed (-15171)
FOLR3	unnamed (+9608)
FOS	unnamed (+15316)
FOXA2	unnamed (+112427)
FOXC1	unnamed (+31590), unnamed (+127986)
FOXD4L1	unnamed (+104763)
FOXD4L6	unnamed (+213075)
FOXE3	unnamed (-13241)
FOXI2	unnamed (+60301)
FOXI3	unnamed (-45109), unnamed (-17032)
FOXJ2	unnamed (-42453), unnamed (-13731)
FOXJ3	unnamed (+138777)
FOXK1	unnamed (-78641)
FOXK2	unnamed (+2552), unnamed (+66628)
FOXL1	unnamed (+584077), unnamed (+609033), unnamed (+640124), unnamed (+661723)
FOXL2	unnamed (+100780)
FOXN2	unnamed (-271170)
FOXN3	unnamed (+557368)
FRA10AC1	unnamed (-44470)
FREM2	unnamed (-476)
FRG1	unnamed (-706816), unnamed (-705594), unnamed (-94087), unnamed (+81084)
FRG2	unnamed (-54776), unnamed (+5382)
FRG2B	unnamed (-160506), unnamed (-63016), unnamed (-61381)
FRG2C	unnamed (-13902), unnamed (+3000), unnamed (+85547), unnamed (+87166)
FRMD4A	unnamed (+601654)
FRMD6	unnamed (-13625), unnamed (-355)
FRMD8	unnamed (+32359)
FRMPD2	unnamed (+282878), unnamed (+287224), unnamed (+380114), unnamed (+736329)
FSCN1	unnamed (-1086)
FSHR	unnamed (+135964), unnamed (+148768)
FSTL1	unnamed (-20579)
FSTL4	unnamed (-313399)
FUT8	unnamed (+381038), unnamed (+407749)
FXYD4	unnamed (+5855)
FXYD5	unnamed (+8405)
FYB1	unnamed (+48448), unnamed (+48860)
FYN	unnamed (+92102)
FZD10	unnamed (-118912)
FZD3	unnamed (+128415)
FZD5	unnamed (-90668), unnamed (-15579), unnamed (+48565)
GAA	unnamed (-41460)
GAB1	unnamed (+18945), unnamed (+79777)
GAB2	unnamed (+36839)
GABBR2	unnamed (+75165)
GABRB3	unnamed (+790219), unnamed (+816098)
GABRG1	unnamed (+415030)
GADD45A	unnamed (-245559)
GADD45B	unnamed (+64848), unnamed (+167124)
GADD45G	unnamed (-69984), unnamed (+276783)
GADL1	unnamed (-265334)
GAGE12C	unnamed (-186036)
GAK	unnamed (+17743), unnamed (+62406)
GALNT1	unnamed (-146558)
GALNT11	unnamed (+305654)
GALNT18	unnamed (+166975)
GALNT2	unnamed (+55562)
GALNT6	unnamed (+14187)
GALNT9	unnamed (+12132), unnamed (+29428), unnamed (+85978), unnamed (+104254)
GALR1	unnamed (-12646), unnamed (+268857), unnamed (+988067)
GAPVD1	unnamed (+18312)
GART	unnamed (-49)
GAS1	unnamed (-428753), unnamed (+181579), unnamed (+332293)
GAS6	unnamed (-148473), unnamed (+33386)
GAS7	unnamed (+112281)
GATA1	unnamed (-32657)
GATA2	unnamed (-12068), unnamed (-6941)
GATA3	unnamed (-139), unnamed (+229067), unnamed (+229488), unnamed (+234843), unnamed (+241768), unnamed (+311737), unnamed (+352990), unnamed (+353290), unnamed (+527109)
GATB	unnamed (-285185)
GBE1	unnamed (+360041)
GBGT1	unnamed (-5287)
GBX1	unnamed (+53668)
GBX2	unnamed (+583066)
GCC2	unnamed (+85483)
GCG	unnamed (+38893)
GCGR	unnamed (-11010)
GCH1	unnamed (+250466), unnamed (+251735), unnamed (+259354)
GCM1	unnamed (-5404)
GCNT2	unnamed (-7042)
GCNT4	unnamed (-206064)
GCSAM	unnamed (+3753)
GCSH	unnamed (-47745)
GDE1	unnamed (+90311)
GDF10	unnamed (-261029)
GDF3	unnamed (-10284), unnamed (-9764)
GDPD3	unnamed (+9362)
GDPD4	unnamed (+117124)
GET4	unnamed (-158)
GFAP	unnamed (-25096)
GFPT2	unnamed (+53283)
GFRA2	unnamed (+956418)
GGT2	unnamed (+153405), unnamed (+187313), unnamed (+189693)
GGTLC3	unnamed (+130561), unnamed (+280537)
GHRH	unnamed (-17639)
GIMD1	unnamed (-54691)
GIPC1	unnamed (-9898), unnamed (-9427)
GJA1	unnamed (+135251)
GJA10	unnamed (+37973), unnamed (+286225)
GJA5	unnamed (-63853), unnamed (+15690)
GJA8	unnamed (-70741)
GK	unnamed (+278770)
GKN2	unnamed (+63144)
GLI2	unnamed (-360837), unnamed (-301095)
GLI3	unnamed (+129298), unnamed (+482986)
GLIPR1L1	unnamed (+7189)
GLIPR1L2	unnamed (-49242)
GLIS3	unnamed (-118234)
GLRA2	unnamed (+201496)
GLRB	unnamed (-62946)
GLRX3	unnamed (+359908), unnamed (+798219)
GLS	unnamed (-161826), unnamed (-118), unnamed (+112280)
GLT1D1	unnamed (+685369)
GLUD1	unnamed (-659)
GLUL	unnamed (+290690)
GM2A	unnamed (+5207)
GMDS	unnamed (+507734), unnamed (+604130)
GNA12	unnamed (+23653)
GNAI1	unnamed (-628089)
GNAS	unnamed (-157448)
GNAT3	unnamed (-52059)
GNB1L	unnamed (-26843), unnamed (-26398)
GNG13	unnamed (-57886)
GNG7	unnamed (+59458), unnamed (+161734)
GNPDA2	unnamed (-982456)
GOLGA2	unnamed (+25446)
GOLGA3	unnamed (-37796), unnamed (+10612)
GOLGA8J	unnamed (-158164)
GOLGA8T	unnamed (+37948)
GOLPH3	unnamed (-49774)
GOLPH3L	unnamed (+22164)
GORAB	unnamed (-37990)
GORASP1	unnamed (-43205)
GOSR1	unnamed (-26504)
GOT1L1	unnamed (+23905)
GPAM	unnamed (+972208)
GPATCH11	unnamed (+14132)
GPATCH2	unnamed (+704252)
GPBP1	unnamed (-104309), unnamed (-101270)
GPC1	unnamed (-184412), unnamed (-49951), unnamed (+22248)
GPC4	unnamed (+87962)
GPC5	unnamed (-154707)
GPD2	unnamed (-52028)
GPHN	unnamed (-715777), unnamed (-689066), unnamed (+660579)
GPLD1	unnamed (+37869)
GPR137	unnamed (-12948)
GPR156	unnamed (+127203), unnamed (+140490), unnamed (+141174)
GPR158	unnamed (+519318), unnamed (+529383)
GPR171	unnamed (+47258), unnamed (+47636)
GPR173	unnamed (-68834)
GPR176	unnamed (+138224), unnamed (+199550)
GPR182	unnamed (-6969)
GPR25	unnamed (-56224)
GPR37L1	unnamed (-16997)
GPR39	unnamed (-613219)
GPR78	unnamed (-46272), unnamed (-32390)
GPX3	unnamed (+55410)
GRAMD1B	unnamed (-190476)
GRAMD2A	unnamed (+27287), unnamed (+29461)
GRAMD4	unnamed (+15097)
GRB2	unnamed (-25018)
GREB1L	unnamed (-105982), unnamed (-47629)
GREM2	unnamed (+427118)
GRHL1	unnamed (+76842)
GRHL2	unnamed (-55088), unnamed (+131419)
GRHL3	unnamed (-52907)
GRIK1	unnamed (-207619)
GRIK2	unnamed (-450020), unnamed (-129704)
GRIK4	unnamed (+381895)
GRIN2B	unnamed (+453909)
GRIP2	unnamed (-75537), unnamed (+109575)
GRIPAP1	unnamed (-32385)
GRK1	unnamed (+5175), unnamed (+58051)
GRK2	unnamed (-17717)
GRK5	unnamed (+206433)
GRM2	unnamed (+49278)
GRM4	unnamed (-4049), unnamed (+74307), unnamed (+305505)
GRPEL2	unnamed (-45560)
GRTP1	unnamed (-71922)
GSAP	unnamed (+107365)
GSC	unnamed (-60052)
