name	length	WIBR3_naive_TSC	AN_STB	AN_EVT	AN_naive_TSC	AN_naive	AN_primed_TSC	AN_primed	H9_STB	H9_capacitated_rep1	H9_capacitated_rep2	H9_EVT	H9_naive_TSC	H9_naive	H9_primed_StemPro	H9_primed_TSC	H9_primed
ACTL7B	2379	0	0	0	0	0	2	0	0	0	1	6	0	0	0	2	0
ACTL8	1864	0	0	0	2	5	1	59	0	188	74	0	0	5	35	4	45
ACTL9	1426	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ACTN1	10626	9493	1681	8103	5173	1191	4668	3526	1453	3239	3750	14283	4187	912	2909	1501	2524
ACTN1-AS1	936	9	0	1	7	3	2	5	1	1	5	1	1	0	3	0	2
ACTN2	5530	141	12	11	79	13	69	45	10	82	69	1	21	17	80	31	53
ACTN3	3517	0	0	0	0	86	49	208	2	75	82	0	0	42	430	0	477
ACTN4	6098	4463	939	3790	3797	3406	2163	1853	971	1937	2732	6742	3157	3430	1542	830	1760
ACTN4P1	1451	0	0	0	1	192	0	0	0	19	157	0	0	56	1	0	0
ACTN4P2	1892	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0
ACTP1	383	3	0	4	1	1	2	3	0	0	0	1	2	0	2	0	0
ACTR10	4039	2962	1741	2128	2470	1448	3340	1217	1606	1520	1321	1903	1598	1499	1505	2391	1425
ACTR1A	4654	6001	3506	4017	4154	2768	5705	3580	2775	2970	2454	4083	3394	2682	3664	6191	3553
ACTR1B	2892	1010	251	475	466	594	666	299	284	300	366	996	554	410	483	794	308
ACTR2	4347	5068	3068	4041	3818	1951	4733	2913	2326	3322	2470	4405	2888	2980	3170	5212	3284
ACTR3	12049	3887	1643	4434	2774	2424	6789	4060	1628	3373	3363	5421	2334	2369	2600	4303	2982
ACTR3B	6024	106	63	50	56	64	81	143	53	152	80	93	67	75	203	227	206
ACTR3BP1	1247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP2	2711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP3	979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP4	1244	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0
ACTR3BP5	1479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP6	1241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	6460	10	21	13	7	0	2	6	15	1	0	10	8	0	0	0	0
ACTR3P2	1257	1	0	2	0	23	1	0	0	4	15	1	0	6	1	1	0
ACTR3P3	893	0	0	0	0	20	0	0	0	0	9	0	0	3	0	1	0
ACTR5	2565	65	48	52	74	118	54	119	39	175	157	134	78	127	134	144	163
ACTR6	3813	2821	1185	2524	2770	959	711	660	1356	882	548	2255	2748	1512	1067	1286	805
ACTR6P1	1104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR8	4066	1009	543	819	745	1162	1489	1444	409	1696	1182	700	546	1329	1422	1690	1182
ACTRT1	1437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	1421	0	0	0	0	0	0	0	2	4	1	0	0	0	0	1	4
ACTRT3	2005	16	71	108	33	44	76	196	58	166	81	72	25	24	160	18	111
ACVR1	3990	132	88	137	126	578	246	150	58	220	211	306	102	362	154	91	175
ACVR1B	5690	154	72	25	151	187	118	152	99	129	174	38	65	189	268	389	189
ACVR1C	9195	2	4	3	5	34	0	22	2	69	46	44	9	38	47	3	46
ACVR2A	6770	354	375	226	330	449	1154	1024	417	743	657	398	264	621	959	2749	1063
ACVR2B	15744	978	337	805	1104	907	500	2526	286	1695	861	1472	771	792	2620	2711	2508
ACVR2B-AS1	2517	22	18	15	20	12	4	49	4	26	7	10	14	4	48	14	25
ACVRL1	5040	4	1300	608	7	170	23	0	490	12	45	996	10	71	3	0	13
ACY1	4794	24	20	25	22	18	9	29	37	38	17	29	27	46	52	7	37
ACY3	1300	6	0	0	0	0	3	5	0	7	8	0	3	1	4	0	0
ACYP1	1841	740	279	354	514	155	410	310	199	408	166	439	531	207	489	717	595
ACYP2	4964	45	86	59	55	92	238	72	56	87	66	35	43	101	170	180	121
AD000090.1	494	2	3	4	2	4	6	6	6	5	4	1	1	2	15	9	9
AD000091.1	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AD000671.1	1037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AD000671.2	1925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AD000671.3	2040	2	1	0	1	0	1	0	1	1	3	1	1	0	0	1	1
AD000813.1	832	4	0	1	1	7	6	3	0	4	5	1	0	11	1	9	3
AD000864.1	2295	2	3	7	0	0	2	9	1	17	3	2	0	11	20	3	18
AD001527.1	379	15	2	13	8	10	2	6	0	7	9	17	3	11	2	8	3
AD001527.2	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADA2	5800	6	17	1	29	1412	523	1706	10	4174	2250	2	6	2738	4128	2748	3721
ADA	2852	269	38	1066	87	232	677	429	162	133	141	3579	240	512	331	539	587
ADAD1	2699	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ADAD1P2	646	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAD2	4111	0	0	0	0	4	0	2	0	8	3	0	0	3	1	0	2
ADAL	5718	291	185	97	268	252	625	425	122	381	222	59	159	275	706	769	683
ADAM10	16168	5566	2584	3660	4581	2178	3127	2703	1717	2875	1963	3885	2820	2153	2955	3342	3101
ADAM11	4770	14	3	3	27	19	41	52	2	42	23	0	19	26	86	136	55
ADAM12	9860	22	1954	4178	23	6	62	8	3599	10	24	22891	86	11	8	202	3
ADAM15	6584	3073	163	1344	2978	217	450	244	260	110	195	6462	3604	213	204	595	369
ADAM17	5491	1460	1047	1502	1634	1132	1436	673	871	702	714	1443	1211	1247	810	1318	926
ADAM18	3825	1	4	3	6	4	0	0	2	0	4	2	15	32	0	3	0
ADAM19	7704	6300	3795	13793	992	182	2193	772	6815	828	1517	67198	1782	701	819	726	1535
ADAM1A	2129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM1B	2000	3	0	2	0	0	6	1	0	0	0	8	4	2	3	22	2
ADAM20	2795	0	7	3	2	4	1	1	0	4	1	10	2	3	1	5	2
ADAM20P1	3034	3	2	3	6	2	1	6	7	12	16	13	0	0	7	12	7
ADAM20P2	1273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20P3	2106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM21	2658	3	1	12	2	1	2	0	0	1	0	2	1	2	11	1	10
ADAM21P1	2311	0	2	1	4	0	0	0	0	2	0	0	0	0	0	0	1
ADAM22	12199	33	1	7	70	19	33	110	0	89	72	22	42	10	144	231	133
ADAM2	2905	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ADAM23	6421	22	0	2	23	118	26	105	0	124	102	4	2	35	185	300	230
ADAM24P	2101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ADAM28	9351	0	0	554	0	0	5	20	0	16	53	1495	1	1	19	0	16
ADAM29	5957	0	0	0	0	1	0	0	0	6	4	7	0	0	5	4	4
ADAM30	2963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	10044	8	3	3	3	1	4	1	4	2	0	17	7	2	0	5	1
ADAM33	5834	1	0	5	3	229	4	38	0	31	28	17	0	52	54	5	52
ADAM3A	2999	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAM3B	840	0	0	1	0	0	6	3	0	0	5	0	0	0	3	14	1
ADAM5	2852	0	0	1	0	0	0	0	0	0	1	9	1	0	0	0	0
ADAM6	2015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	4483	0	0	0	0	0	11	0	0	0	0	1	0	0	1	0	0
ADAM8	4780	970	58	1435	1453	30	4	20	105	23	20	5917	1252	105	32	6	26
ADAM9	6913	5857	2214	8247	4799	1056	6221	491	2755	630	547	6062	3078	1429	454	1269	805
ADAMDEC1	2438	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ADAMTS10	5703	0	0	0	0	90	15	29	0	46	91	1	0	34	35	26	24
ADAMTS12	9778	4	1	0	2	259	666	152	0	494	432	2	1	134	249	717	231
ADAMTS13	5708	14	5	13	3	23	22	23	3	28	19	12	2	18	65	32	46
ADAMTS14	5269	0	0	0	0	34	3	17	1	6	6	0	2	5	51	0	14
ADAMTS15	5673	1	0	0	0	87	89	31	0	31	35	0	0	13	30	25	4
ADAMTS16	5863	4	0	0	1	8	13	92	0	176	103	0	4	0	76	4	46
ADAMTS1	7063	2748	529	4686	1461	641	140	334	347	82	224	6416	2163	539	258	281	199
ADAMTS17	8242	0	0	0	1	2	1	14	0	35	30	0	0	0	13	10	15
ADAMTS18	6678	18	0	1	17	0	0	0	0	5	15	0	2	0	2	5	1
ADAMTS19	5408	0	0	1	1	0	37	325	0	143	69	0	4	1	381	43	412
ADAMTS19-AS1	786	0	0	0	0	0	3	10	0	7	4	0	0	0	19	3	17
ADAMTS20	7242	525	1767	1320	45	15	2	39	1547	41	19	3663	107	719	50	42	46
ADAMTS2	8726	0	0	1	0	122	28	27	0	30	27	1	0	61	72	4	45
ADAMTS3	7172	87	27	74	64	28	154	36	10	24	18	85	43	28	40	145	41
ADAMTS4	10334	7	4	49	5	61	25	221	4	353	302	121	0	26	136	36	536
ADAMTS5	9056	38	17	58	24	948	0	29	9	5	13	18	30	335	20	29	20
ADAMTS6	8567	359	530	298	332	23	86	28	458	33	42	904	286	50	38	309	36
ADAMTS7	7730	19	1	2	11	35	30	52	7	18	26	6	12	10	37	92	56
ADAMTS7P1	4875	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0
ADAMTS7P3	3758	0	0	0	1	2	0	0	0	1	1	2	0	0	1	1	1
ADAMTS7P4	5516	9	19	2	3	0	19	0	6	0	2	2	0	0	0	12	0
ADAMTS8	4523	0	0	0	1	4	2	160	0	109	53	2	0	12	177	9	132
ADAMTS9	10680	18	0	0	0	5	99	14	0	25	110	1	0	8	22	207	8
ADAMTS9-AS1	6949	0	0	0	0	1	3	0	0	0	4	0	0	1	1	15	0
ADAMTS9-AS2	7232	0	2	1	1	0	3	5	1	1	3	0	0	2	4	68	1
ADAMTSL1	13652	0	52	6	1	425	30	24	37	14	44	6	0	122	50	97	21
ADAMTSL2	4677	0	0	0	0	98	0	8	0	1	2	0	0	34	7	0	5
ADAMTSL3	9754	6	0	2	9	16	0	5	2	10	17	0	5	11	19	1	14
ADAMTSL4	6432	1167	600	1150	727	52	10	9	756	23	36	4263	1271	104	53	15	74
ADAMTSL4-AS1	2622	30	36	10	30	15	14	9	18	49	27	26	53	12	44	55	17
ADAMTSL5	3625	126	52	27	64	219	1	2	34	8	18	60	34	118	4	4	11
ADAP1	5062	6	23	3	3	20	3	19	27	12	4	15	5	4	14	0	6
ADAP2	3750	374	156	685	430	18	30	3	338	0	10	2315	343	137	6	5	5
ADAR	8356	3827	5015	4413	3233	2842	2855	5605	4246	7554	5325	11365	3944	4956	6064	5867	7655
ADARB1	10049	86	28	64	77	112	113	82	12	273	208	37	32	193	111	35	81
ADARB2	10513	0	0	0	0	1	3	9	0	3	15	0	0	0	29	71	44
ADARB2-AS1	1125	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	3
ADAT1	4486	1176	999	670	707	756	1583	973	639	785	643	636	483	862	928	1616	937
ADAT2	7175	361	96	112	276	180	356	484	44	487	254	109	141	293	620	591	653
ADAT3	2237	23	6	3	18	7	6	2	2	4	4	28	20	3	4	5	2
ADCK1	5317	243	73	177	228	383	328	507	102	642	374	272	289	575	860	766	606
ADCK2	2913	910	860	313	522	140	28	62	1126	82	52	443	529	368	116	66	47
ADCK5	2742	315	28	234	271	237	147	76	35	130	116	289	197	228	137	259	91
ADCY10	6139	125	110	81	180	44	0	9	149	23	26	269	173	119	4	1	6
ADCY10P1	5741	69	11	13	25	16	35	40	15	21	24	29	22	30	86	77	112
ADCY1	13530	7	0	5	20	20	4	327	0	204	104	33	37	12	311	163	395
ADCY2	17538	4	0	19	0	11	147	719	5	235	164	92	0	6	742	49	910
ADCY3	6058	491	40	221	327	114	259	190	18	161	117	323	335	102	222	441	233
ADCY4	8067	0	4	2	2	10	32	4	8	3	21	0	0	11	11	1	7
ADCY5	8873	124	124	75	65	16	18	805	155	392	222	103	187	29	648	42	685
ADCY6	8410	655	338	346	449	17	509	240	370	74	109	620	379	38	327	559	206
ADCY7	8630	4	153	28	5	8	10	13	162	19	16	73	18	10	24	298	29
ADCY8	5961	0	0	0	0	3	11	22	4	0	2	0	0	1	22	2	7
ADCY9	10358	254	41	42	250	64	108	70	38	33	51	137	116	61	64	117	35
ADCYAP1	3805	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADCYAP1R1	6832	0	0	0	0	6	2	296	0	116	92	1	0	0	229	788	290
ADD1	13106	3191	1235	2333	2973	1814	3915	2366	843	2319	2059	3991	2179	1778	2627	4361	2340
ADD2	12673	0	1	0	0	397	124	5680	0	3917	2123	0	0	242	4414	4614	6728
ADD3	6541	1755	88	811	1236	1676	2906	2078	68	2510	2721	734	748	1055	3231	2524	3099
ADD3-AS1	9007	2	0	1	1	7	22	0	3	2	7	0	8	1	8	13	14
ADGB	7773	0	0	1	0	0	5	0	0	5	0	0	0	1	0	0	0
ADGRA1	6503	0	0	0	0	1	0	0	1	5	3	0	0	5	0	0	5
ADGRA1-AS1	5419	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
ADGRA2	7061	54	0	5	52	34	155	11	2	45	64	7	38	25	13	30	14
ADGRA3	9250	588	14	247	434	220	183	472	34	511	284	771	360	159	538	703	480
ADGRB1	7356	0	0	0	0	0	1	10	0	15	6	0	0	0	11	24	13
ADGRB2	7756	74	3	13	52	1	84	38	1	14	6	43	57	1	34	151	35
ADGRB3	6490	0	1	0	0	38	104	45	1	10	11	0	0	7	20	739	39
ADGRD1	14718	1	22	1	0	466	3	3	24	56	38	3	0	895	11	15	16
ADGRD1-AS1	1277	0	2	0	0	0	0	0	1	0	1	0	0	20	0	0	0
ADGRD2	5555	4	2	2	2	1	0	2	0	8	3	4	2	2	7	5	9
ADGRE1	3707	0	0	0	4	37	0	0	1	13	3	0	0	21	0	0	0
ADGRE2	8622	174	66	29	135	53	0	37	177	60	33	84	227	217	131	10	136
ADGRE3	2837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE4P	3321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE5	5382	5381	3763	3125	2855	859	74	67	1839	174	202	2304	1486	751	95	12	61
ADGRF1	12401	9	2	4	7	2	2	0	0	7	2	0	3	0	0	0	0
ADGRF2	6395	16	0	3	13	0	4	0	0	6	6	0	2	0	0	0	3
ADGRF3	5761	3	0	1	5	1	11	31	1	15	7	4	2	2	57	10	19
ADGRF4	3391	344	419	239	139	1	0	0	271	2	22	203	170	8	0	1	0
ADGRF5	6650	94	95	121	155	2	17	0	38	0	7	174	14	3	0	7	0
ADGRF5P1	1489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRF5P2	1659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADGRG1	8659	2066	3314	1076	3005	75	249	15	2606	27	41	790	1866	409	71	2771	47
ADGRG2	10155	15	4	16	7	689	16	402	22	308	111	58	4	296	251	2	139
ADGRG3	3330	15	4	14	30	3	0	1	0	20	2	22	15	14	10	0	100
ADGRG4	10074	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ADGRG5	5852	292	11	42	265	51	2	118	1	33	19	62	232	44	138	0	130
ADGRG6	8473	206	3422	4900	167	17	58	21	3798	23	67	15128	163	19	33	8	33
ADGRG7	4091	0	0	2	1	0	0	0	0	3	8	2	0	5	3	0	0
ADGRL1	8487	279	178	160	397	540	658	580	98	805	302	141	197	457	675	610	775
ADGRL2	7754	759	202	437	1231	611	1923	1025	204	574	491	66	508	411	1634	2272	1087
ADGRL3	13991	1822	180	157	1529	71	869	241	97	213	127	121	852	337	304	827	228
ADGRL3-AS1	947	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0
ADGRL4	3677	0	0	0	0	0	2672	36	0	5	44	0	0	0	4	22	44
ADGRV1	33822	112	313	153	139	212	515	817	289	560	301	232	83	136	1129	2071	778
ADH1A	2258	0	0	0	0	4	1	0	1	0	0	1	0	3	2	3	0
ADH1B	10777	0	0	0	0	16	0	0	0	0	0	0	0	3	0	4	0
ADH1C	1860	0	0	0	0	44	0	0	0	0	1	0	0	4	0	0	0
ADH4	2453	1	0	1	0	0	0	2	0	1	3	2	0	1	1	5	0
ADH5	4866	3962	909	3967	2977	2339	4266	5823	995	6445	3890	3199	1973	3009	5684	6765	5261
ADH5P2	1124	1	0	0	0	1	2	2	0	0	1	0	0	0	0	0	0
ADH5P3	1137	0	1	0	0	31	0	1	0	2	9	1	0	10	1	0	1
ADH5P4	1110	13	4	11	7	114	8	20	0	32	70	8	7	48	12	18	13
ADH6	4401	4	0	0	3	26	5	4	0	7	11	7	0	7	10	18	2
ADH7	3108	0	0	0	0	98	0	0	0	2	33	0	0	31	0	0	0
ADHFE1	3750	47	137	80	91	49	36	45	125	25	43	52	67	33	65	23	83
ADI1	5560	2634	859	1197	1131	1599	1163	1540	821	761	1305	1274	1373	1678	761	578	909
ADI1P1	538	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ADI1P2	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADI1P3	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIG	1033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOQ	4613	0	1	2	0	0	0	0	0	0	2	1	1	1	1	0	0
ADIPOQ-AS1	3443	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0
ADIPOR1	3193	4550	3980	1929	2910	2291	1005	2171	4534	2525	2670	4353	3678	2490	2387	1692	3594
ADIPOR1P1	1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOR1P2	820	1	0	1	0	27	0	0	0	2	10	0	0	6	0	1	1
ADIPOR2	5878	1117	552	578	780	292	304	366	484	340	342	1352	816	297	352	559	248
ADIRF	998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIRF-AS1	5748	56	31	20	61	4	11	26	22	12	9	31	57	5	25	3	29
ADK	3184	14849	3229	3940	9806	997	2162	1547	2716	1117	857	3288	7682	990	1323	3981	1676
ADM2	4276	251	677	309	452	98	7	127	708	140	158	255	490	163	56	11	133
ADM	2718	3752	14271	7273	2551	737	4597	2414	11274	513	895	6870	4048	1508	1643	395	916
ADM5	1718	32	0	9	9	19	7	28	0	22	36	1	12	16	22	20	7
ADNP2	5893	810	177	314	672	586	589	946	235	954	681	978	712	983	1308	1460	894
ADNP	7081	3562	847	1967	2240	1495	2772	3970	857	3669	1996	3138	2600	2266	4987	7007	5428
ADNP-AS1	927	12	11	9	18	5	18	27	3	29	39	20	16	15	55	25	33
ADO	3627	113	64	78	127	70	115	161	54	188	101	182	82	60	200	280	156
ADORA1	4191	6	6	1	1	12	135	28	10	85	155	1	0	3	43	84	135
ADORA2A	4193	1	4	0	1	1	0	0	1	0	0	0	0	0	0	2	0
ADORA2A-AS1	4025	3	1	0	3	3	2	7	4	7	3	0	1	1	8	1	5
ADORA2B	2551	373	57	16	57	299	90	117	90	108	99	43	117	212	90	96	143
ADORA2BP1	842	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0
ADORA3	2687	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADPGK	5931	464	300	346	369	384	320	268	219	362	335	887	280	687	346	356	205
ADPGK-AS1	3138	4	2	1	1	2	1	1	0	2	1	5	0	0	10	3	3
ADPRH	4615	87	222	135	42	332	12	114	102	62	205	137	40	137	126	4	120
ADPRHL1	10924	200	45	187	163	109	34	49	49	23	37	140	78	240	30	131	17
ADPRHL2	1668	1407	963	467	1072	838	639	706	502	504	576	625	900	612	985	646	628
ADPRM	1620	170	333	119	162	149	201	175	337	135	163	121	95	220	238	456	303
ADRA1A	5848	0	0	0	0	0	0	10	0	16	5	1	0	1	1	3	3
ADRA1B	2687	0	0	0	0	4	6	0	0	0	1	0	0	0	0	3	0
ADRA1D	2790	18	1	0	1	0	0	1	0	2	1	3	1	0	1	0	4
ADRA2A	3745	0	0	0	0	1	0	22	0	7	5	6	0	0	26	15	7
ADRA2B	3371	30	0	6	40	0	2	22	1	19	14	15	12	0	38	1	25
ADRA2C	2179	4	0	1	3	53	3	12	0	9	12	3	14	47	20	1	29
ADRB1	2853	4	0	1	11	4	0	0	0	3	12	6	26	1	7	6	2
ADRB2	3443	22	3	2	23	34	30	28	1	29	78	0	11	12	25	26	29
ADRB3	3241	1	0	0	0	3	0	4	0	0	2	4	0	4	4	0	0
ADRM1	2142	6270	4152	2991	4677	4295	3923	6032	3441	6254	4864	3063	4188	4129	4141	3719	4529
ADSL	7111	718	66	232	462	386	591	992	68	945	669	244	333	383	841	1019	851
ADSS	3666	1306	500	829	918	628	415	1240	284	1123	720	774	790	543	1006	600	1031
ADSSL1	5775	14	0	15	13	16	6	28	10	14	14	52	6	18	63	7	47
ADTRP	4150	1	0	0	1	73	0	7	0	9	24	0	0	1160	5	0	17
AEBP1	4955	24	7	22	8	2454	719	200	0	255	677	20	2	657	149	267	176
AEBP2	6572	5678	1283	2260	5436	1064	1270	1500	1172	1759	931	1622	4701	1940	2157	2142	1842
AEN	6018	4506	2766	2199	1739	3361	1294	3821	4168	4845	4525	3146	2550	3115	2626	2524	3667
AES	5298	977	2778	6781	1252	119	241	354	2390	590	312	12582	1877	118	448	258	443
AF001548.1	550	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
AF001548.2	836	106	51	83	144	99	242	91	5	13	15	21	41	15	26	166	92
AF001548.3	1743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
AF001550.1	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF001550.2	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF003529.1	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF013593.1	1487	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
AF015262.1	698	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
AF015720.1	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF038458.1	262	0	0	0	1	4	0	0	0	0	5	0	0	0	0	0	0
AF038458.2	600	3	0	2	3	1	8	6	1	1	1	2	1	3	3	22	5
AF038458.3	500	0	1	0	0	0	0	2	0	1	0	0	0	0	0	6	0
AF064858.1	1412	1	0	0	6	2	1	0	0	0	0	1	1	0	0	1	4
AF064858.2	292	2	0	0	3	0	0	2	0	2	0	0	0	1	2	0	5
AF064858.3	509	2	0	0	2	0	0	0	0	0	0	0	1	0	0	3	0
AF064860.1	544	0	2	2	0	0	0	2	2	1	0	1	0	0	1	0	0
AF064860.2	1786	7	75	7	0	0	1	3	35	7	2	12	7	11	4	10	1
AF067845.1	1192	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0
AF067845.2	3049	6	0	0	1	0	0	2	11	0	0	14	2	4	1	2	1
AF067845.4	480	1	0	0	1	0	1	2	0	0	0	1	0	0	4	0	0
AF067845.5	437	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AF096876.1	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF099810.1	525	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AF106564.1	2553	0	0	0	0	0	23	13	0	16	3	0	0	0	18	22	22
AF107885.1	958	5	0	1	6	3	0	4	0	3	1	8	1	3	0	2	1
AF107885.2	609	3	5	2	0	5	6	3	0	3	0	10	3	1	0	9	7
AF111167.1	874	0	0	0	0	0	1	0	0	0	1	2	0	1	1	0	0
AF111167.2	4059	4	8	5	15	6	2	1	2	2	9	0	2	2	14	2	6
AF111169.1	374	2	4	1	1	16	4	6	0	4	8	2	1	5	1	1	2
AF111169.2	721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF111169.3	756	0	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0
AF111169.4	954	0	0	0	1	2	0	0	0	1	1	6	0	7	0	4	0
AF117829.1	7481	153	44	125	288	15	73	89	35	57	38	92	143	24	142	149	76
AF117829.2	361	0	0	1	0	0	1	0	1	0	0	2	0	0	1	0	0
AF121897.1	3980	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
AF121898.1	2910	0	4	1	0	0	1	0	0	0	0	1	2	0	0	0	0
AF123462.1	446	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0
AF124730.1	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF127577.1	562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF127577.2	824	21	0	45	8	5	12	5	1	0	2	361	15	3	3	20	0
AF127577.3	781	5	1	3	5	3	0	0	1	1	4	10	8	5	1	0	0
AF127577.4	5929	36	9	127	80	5	190	3	13	1	3	368	38	1	8	118	8
AF127577.5	446	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3
AF127577.6	2191	5	1	31	11	0	0	0	0	3	0	175	1	4	0	3	0
AF127936.1	695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF127936.2	1863	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
AF129075.1	794	5	1	5	7	2	4	5	1	3	9	6	3	15	3	7	4
AF129075.2	636	7	5	3	1	1	1	4	4	1	2	13	4	3	3	7	3
AF129408.1	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF130351.1	1889	0	0	0	0	0	0	30	0	27	7	3	0	1	29	0	21
AF130359.1	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AF130417.1	478	0	0	1	0	1	0	1	1	3	1	2	0	2	0	0	1
AF131215.1	520	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2
AF131215.2	1710	0	0	0	0	10	9	12	0	14	16	0	0	13	25	30	27
AF131215.3	639	0	0	0	0	2	0	3	0	7	1	0	0	0	1	4	0
AF131215.4	1741	0	0	0	0	3	2	12	0	14	14	0	0	12	14	14	16
AF131215.5	1939	2	0	0	0	34	58	80	0	80	43	0	4	44	63	163	53
AF131215.6	2014	5	0	0	3	66	83	115	0	142	114	0	1	95	145	328	207
AF131215.7	707	0	0	0	0	0	2	8	0	15	2	0	0	3	16	1	8
AF131216.1	5856	25	1	18	5	21	10	27	0	62	36	43	19	30	26	61	46
AF131216.2	564	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
AF131216.3	1099	0	0	0	0	30	1	3	1	9	9	0	0	15	9	4	5
AF131216.4	1588	2	4	1	1	14	9	11	0	32	11	0	1	3	8	9	7
AF146191.1	889	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
AF165147.1	6532	0	1	0	0	1	0	1	0	1	4	2	0	0	1	0	1
AF178030.1	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF181450.1	410	0	0	0	0	1	0	2	0	2	1	0	0	0	0	6	1
AF186190.1	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF186192.1	572	0	0	0	0	6	0	0	0	14	6	1	0	3	8	0	0
AF186192.2	1680	1	2	0	0	50	0	3	0	91	61	1	0	44	140	30	24
AF186192.3	947	0	0	0	0	9	0	0	0	1	0	0	0	9	1	0	1
